Desc	Orthogroup	Arabidopsis_thaliana	Anthoceros_angustus	Amborella_trichopoda	Azolla_filiculoides	Ceratopteris_richardii	Selaginella_moellendorffii	Chara_braunii	Klebsormidium_flaccidum	Mesotaenium_endlicherianum	Oryza_sativa	Pinus_lambertiana	Marchantia_polymorpha	Populus_trichocarpa	Physcomitrella_patens	Sequoiadendron_giganteum	Spirogloea_muscicola	Salvinia_cucullata	Gnetum_montanum	Vitis_vinifera	Volvox_carteri	Zea_may
(null)	OG0003720	1	2	1	3	2	1	1	1	1	2	2	1	2	1	2	3	2	1	1	1	2
(null)	OG0003909	1	1	1	2	2	1	1	1	1	6	1	1	2	2	1	0	1	1	2	1	3
(null)	OG0003992	3	0	2	2	2	0	0	0	0	2	3	0	4	0	4	0	2	2	2	0	4
(null)	OG0004086	2	3	1	1	1	1	1	1	1	1	1	1	3	2	2	3	1	1	2	1	1
(null)	OG0004095	1	1	1	1	1	1	1	1	1	2	2	1	1	3	2	3	1	1	1	1	4
(null)	OG0004113	1	1	2	1	1	1	1	1	1	1	1	1	2	2	4	4	1	2	1	1	1
(null)	OG0004142	2	1	2	2	1	1	3	1	1	1	2	1	2	2	1	3	0	1	2	1	1
(null)	OG0004148	1	1	1	1	1	0	2	1	1	1	2	1	2	2	0	4	1	6	1	0	2
(null)	OG0004158	1	1	1	2	1	1	1	1	1	2	3	1	2	1	1	0	1	1	2	1	6
(null)	OG0004161	1	2	1	1	1	3	1	1	1	1	2	1	1	1	4	3	1	2	1	1	1
(null)	OG0004377	2	1	1	3	1	1	1	1	1	1	2	1	1	2	2	3	1	1	1	1	2
(null)	OG0004402	1	1	1	1	1	1	2	1	1	2	3	1	1	2	2	3	1	1	1	2	1
(null)	OG0004860	4	0	1	3	4	0	0	0	0	2	0	1	2	0	2	0	1	1	2	0	6
(null)	OG0004937	1	1	1	1	2	1	1	1	1	2	2	1	2	1	1	3	1	1	1	1	2
(null)	OG0004945	1	1	1	1	1	1	2	1	2	1	1	1	2	2	2	3	0	1	1	1	2
(null)	OG0004972	2	1	1	1	1	0	2	1	2	1	1	1	3	1	0	3	1	1	2	1	2
(null)	OG0005001	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	4	1	1	1	1	2
(null)	OG0005036	1	1	1	2	2	1	1	1	1	1	1	1	1	3	2	3	1	1	1	1	1
(null)	OG0005213	1	0	1	2	3	1	0	1	1	1	2	1	1	0	1	0	2	1	1	0	8
(null)	OG0005427	1	1	2	1	1	1	1	1	1	1	3	1	1	1	2	3	1	1	1	1	1
